# Generated by build_master_book.py
# rating_min=2000 max_plies=16 min_count=3
W:W28,29,31,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20	39-33
B:W28,29,31,33,34,35,36,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20	9-13
B:W29,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	19-23
W:W29,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,23	35-30
B:W29,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,23	14-19
W:W28,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23	39-33
B:W28,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23	12-18
W:W28,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,23	44-39
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,23	7-12
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,23	50-44
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,23	1-7
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23	31-27
B:W27,28,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23	17-21
W:W27,28,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23	34-30
B:W27,28,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23	21-26
W:W27,28,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,23,24,26	34-29
