input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  267000/375000  (71.2%)  rate=202.6 pos/s  eta=8.9 min  written=240352 skipped=26648
  269000/375000  (71.7%)  rate=202.6 pos/s  eta=8.7 min  written=242159 skipped=26841
  270000/375000  (72.0%)  rate=202.6 pos/s  eta=8.6 min  written=243050 skipped=26950
  271000/375000  (72.3%)  rate=202.7 pos/s  eta=8.6 min  written=243935 skipped=27065
  272000/375000  (72.5%)  rate=202.7 pos/s  eta=8.5 min  written=244845 skipped=27155
  273000/375000  (72.8%)  rate=202.6 pos/s  eta=8.4 min  written=245772 skipped=27228
  274000/375000  (73.1%)  rate=202.6 pos/s  eta=8.3 min  written=246685 skipped=27315
  276000/375000  (73.6%)  rate=202.6 pos/s  eta=8.1 min  written=248496 skipped=27504
  278000/375000  (74.1%)  rate=202.6 pos/s  eta=8.0 min  written=250294 skipped=27706
  279000/375000  (74.4%)  rate=202.6 pos/s  eta=7.9 min  written=251193 skipped=27807
  280000/375000  (74.7%)  rate=202.6 pos/s  eta=7.8 min  written=252073 skipped=27927
  281000/375000  (74.9%)  rate=202.6 pos/s  eta=7.7 min  written=252967 skipped=28033
  282000/375000  (75.2%)  rate=202.6 pos/s  eta=7.7 min  written=253872 skipped=28128
  283000/375000  (75.5%)  rate=202.6 pos/s  eta=7.6 min  written=254775 skipped=28225
  284000/375000  (75.7%)  rate=202.6 pos/s  eta=7.5 min  written=255666 skipped=28334
  285000/375000  (76.0%)  rate=202.6 pos/s  eta=7.4 min  written=256575 skipped=28425
  287000/375000  (76.5%)  rate=202.6 pos/s  eta=7.2 min  written=258382 skipped=28618
  288000/375000  (76.8%)  rate=202.6 pos/s  eta=7.2 min  written=259292 skipped=28708
  289000/375000  (77.1%)  rate=202.6 pos/s  eta=7.1 min  written=260170 skipped=28830
  290000/375000  (77.3%)  rate=202.6 pos/s  eta=7.0 min  written=261076 skipped=28924
  292000/375000  (77.9%)  rate=202.6 pos/s  eta=6.8 min  written=262851 skipped=29149
  293000/375000  (78.1%)  rate=202.7 pos/s  eta=6.7 min  written=263732 skipped=29268
  295000/375000  (78.7%)  rate=202.6 pos/s  eta=6.6 min  written=265521 skipped=29479
  296000/375000  (78.9%)  rate=202.6 pos/s  eta=6.5 min  written=266419 skipped=29581
  297000/375000  (79.2%)  rate=202.7 pos/s  eta=6.4 min  written=267319 skipped=29681
  299000/375000  (79.7%)  rate=202.6 pos/s  eta=6.3 min  written=269127 skipped=29873
  300000/375000  (80.0%)  rate=202.6 pos/s  eta=6.2 min  written=270033 skipped=29967
  301000/375000  (80.3%)  rate=202.6 pos/s  eta=6.1 min  written=270952 skipped=30048
  302000/375000  (80.5%)  rate=202.6 pos/s  eta=6.0 min  written=271867 skipped=30133
  303000/375000  (80.8%)  rate=202.5 pos/s  eta=5.9 min  written=272782 skipped=30218
  304000/375000  (81.1%)  rate=202.5 pos/s  eta=5.8 min  written=273679 skipped=30321
  305000/375000  (81.3%)  rate=202.6 pos/s  eta=5.8 min  written=274574 skipped=30426
  306000/375000  (81.6%)  rate=202.6 pos/s  eta=5.7 min  written=275463 skipped=30537
  307000/375000  (81.9%)  rate=202.6 pos/s  eta=5.6 min  written=276366 skipped=30634
  308000/375000  (82.1%)  rate=202.5 pos/s  eta=5.5 min  written=277277 skipped=30723
  309000/375000  (82.4%)  rate=202.6 pos/s  eta=5.4 min  written=278174 skipped=30826
  310000/375000  (82.7%)  rate=202.6 pos/s  eta=5.3 min  written=279090 skipped=30910
  311000/375000  (82.9%)  rate=202.6 pos/s  eta=5.3 min  written=279993 skipped=31007
  312000/375000  (83.2%)  rate=202.6 pos/s  eta=5.2 min  written=280901 skipped=31099
  314000/375000  (83.7%)  rate=202.6 pos/s  eta=5.0 min  written=282689 skipped=31311
  317000/375000  (84.5%)  rate=202.5 pos/s  eta=4.8 min  written=285421 skipped=31579
  318000/375000  (84.8%)  rate=202.6 pos/s  eta=4.7 min  written=286314 skipped=31686
  319000/375000  (85.1%)  rate=202.6 pos/s  eta=4.6 min  written=287210 skipped=31790
  320000/375000  (85.3%)  rate=202.6 pos/s  eta=4.5 min  written=288122 skipped=31878
  322000/375000  (85.9%)  rate=202.5 pos/s  eta=4.4 min  written=289932 skipped=32068
  323000/375000  (86.1%)  rate=202.5 pos/s  eta=4.3 min  written=290823 skipped=32177
  324000/375000  (86.4%)  rate=202.6 pos/s  eta=4.2 min  written=291705 skipped=32295
  325000/375000  (86.7%)  rate=202.6 pos/s  eta=4.1 min  written=292613 skipped=32387
  326000/375000  (86.9%)  rate=202.6 pos/s  eta=4.0 min  written=293498 skipped=32502
  328000/375000  (87.5%)  rate=202.6 pos/s  eta=3.9 min  written=295309 skipped=32691
  329000/375000  (87.7%)  rate=202.6 pos/s  eta=3.8 min  written=296186 skipped=32814
  330000/375000  (88.0%)  rate=202.6 pos/s  eta=3.7 min  written=297069 skipped=32931
  332000/375000  (88.5%)  rate=202.6 pos/s  eta=3.5 min  written=298873 skipped=33127
  333000/375000  (88.8%)  rate=202.6 pos/s  eta=3.5 min  written=299774 skipped=33226
